,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,Timestamp
0,3658,3758,-18865,3958,2909,72,1574277473049.0
1,3721,3716,-18947,3897,2919,66,1574277473049.0
2,3712,3739,-18893,3868,2916,69,1574277473049.0
3,3697,3740,-18858,3857,2885,80,1574277473049.0
4,3699,3758,-18879,3839,2825,75,1574277473049.0
5,3740,3754,-18863,3826,2763,62,1574277473049.0
6,3763,3754,-18866,3813,2697,45,1574277473049.0
7,3742,3759,-18823,3810,2634,42,1574277473049.0
8,3733,3748,-18738,3817,2629,33,1574277473049.0
9,3739,3740,-18677,3828,2634,47,1574277473049.0
10,3738,3722,-18621,3836,2675,41,1574277473049.0
11,3759,3730,-18552,3852,2727,36,1574277473049.0
12,3704,3698,-18600,3866,2739,46,1574277473049.0
13,3731,3713,-18580,3851,2702,23,1574277473049.0
14,3734,3781,-18448,3861,2673,-2,1574277473049.0
15,3679,3772,-18399,3887,2657,-45,1574277473049.0
16,3686,3728,-18435,3886,2650,-74,1574277473049.0
17,3657,3749,-18517,3856,2628,-69,1574277473049.0
18,3675,3792,-18513,3836,2614,-69,1574277473049.0
19,3701,3778,-18488,3837,2586,-68,1574277473049.0
20,3729,3813,-18526,3852,2594,-105,1574277473049.0
21,3723,3838,-18479,3858,2634,-136,1574277473049.0
22,3691,3913,-18491,3864,2650,-129,1574277473049.0
23,3600,3885,-18494,3920,2631,-137,1574277473049.0
24,3578,3857,-18445,3980,2591,-108,1574277473049.0
25,3570,3893,-18451,3995,2563,-88,1574277473049.0
26,3547,3918,-18441,3978,2547,-72,1574277473049.0
27,3535,3924,-18466,3966,2513,-81,1574277473049.0
28,3479,3952,-18541,3934,2487,-87,1574277473049.0
29,3487,3988,-18516,3907,2440,-80,1574277473049.0
30,3495,4007,-18564,3881,2399,-62,1574277473049.0
31,3476,4034,-18620,3874,2378,-30,1574277473049.0
32,3507,4081,-18729,3880,2355,-21,1574277473049.0
33,3532,4033,-18760,3896,2367,-4,1574277473049.0
34,3597,3988,-18827,3895,2418,-15,1574277473049.0
35,3671,3950,-18889,3886,2486,4,1574277473049.0
36,3705,3901,-18966,3871,2567,0,1574277473049.0
37,3731,3862,-19018,3868,2641,-2,1574277473049.0
38,3676,3840,-18944,3897,2680,-11,1574277473049.0
39,3599,3848,-18916,3918,2687,15,1574277473049.0
40,3588,3871,-18850,3943,2689,42,1574277473049.0
41,3555,3933,-18763,3986,2703,82,1574277473049.0
42,3548,3931,-18739,3998,2746,102,1574277473049.0
43,3536,3894,-18695,3978,2802,104,1574277473049.0
44,3600,3833,-18674,3939,2801,115,1574277473049.0
45,3647,3817,-18683,3908,2741,117,1574277473049.0
46,3591,3827,-18670,3874,2669,102,1574277473049.0
47,3655,3791,-18562,3831,2598,74,1574277473049.0
48,3664,3819,-18431,3829,2542,32,1574277473049.0
49,3662,3819,-18364,3827,2513,-24,1574277473049.0
50,3637,3798,-18327,3810,2519,-84,1574277473049.0
51,3629,3807,-18396,3797,2489,-108,1574277473049.0
52,3613,3863,-18465,3809,2451,-110,1574277473049.0
53,3632,3900,-18498,3851,2381,-102,1574277473049.0
54,3640,3944,-18482,3886,2342,-96,1574277473049.0
55,3581,3939,-18547,3871,2319,-87,1574277473049.0
56,3657,3949,-18685,3815,2289,-97,1574277473049.0
57,3685,3993,-18825,3788,2243,-113,1574277473049.0
58,3704,3999,-18772,3779,2192,-111,1574277473049.0
59,3640,4033,-18757,3784,2165,-93,1574277473049.0
